Question Id,View count,Is Answered,Answer Count,Score,Owner Reputation
67797330,25,True,1,0,1496
69024832,83,False,1,0,738
69732975,46,True,1,-1,2111
68452845,59,True,2,1,456
67918769,91,True,1,1,46
69802277,40,False,1,1,39
69867669,625,True,2,25,3600
68893368,60,True,1,3,685
70080803,175,True,1,1,693
69431624,85,True,1,3,41
69445147,71,False,2,0,988
68684602,90,False,0,1,1027
68263165,3335,True,2,4,322
69212009,137,True,1,0,3
69679636,26,True,1,1,394
69820993,49,True,1,-1,13
69948068,39,False,0,1,11
69950036,29,False,0,0,1
69789465,82,False,1,1,161
68723968,27,False,1,0,3
70162610,167,False,1,1,405
69581940,39,True,1,0,29
69731762,27,True,1,0,3
69468214,34,True,1,1,57
69030270,244,False,1,0,9
67922053,151,True,1,3,10022
69985785,228,True,2,7,10022
70170948,29,True,1,0,47
68471426,54,False,1,1,11
69901488,20,True,1,0,65
69051262,521,False,1,0,25
68472247,39,False,1,0,519
69880307,152,True,2,6,488
68705263,396,False,0,1,11
68921309,70,True,1,1,5651
68295010,101,True,1,2,23
69648563,48,False,1,0,1
68196767,129,True,2,2,9261
68101279,8691,True,1,2,49
67854518,58,True,1,0,1
68648855,63,False,1,0,1
70171519,40,True,2,0,5
69958214,70,False,1,0,1
69180350,32,False,0,0,65
69151368,94,True,2,1,13
68847745,142,True,4,5,1817
68675328,85,False,0,0,13
69754712,29,True,2,0,34
69983440,63,True,3,0,411
68704499,111,True,3,3,8096
68017981,69,True,4,2,1591
69792736,75,False,3,1,21
69539073,45,True,1,0,29
67943312,73,True,2,0,35
69537397,29,True,1,3,1147
69201151,63,True,3,1,55
68669493,34,False,0,0,8587
69802952,87,True,2,0,1
69666970,47,True,2,1,1217
70044797,26,False,3,0,1
69760260,84,False,1,0,11
68660146,712,True,2,-1,1
68588350,26,False,1,1,75
68340525,100,False,1,0,97
68825533,50,True,2,1,947
70121824,49,True,1,1,37
67792428,171,False,1,2,21
69612309,161,True,1,3,39
68028162,219,False,0,1,393
67879592,2421,True,2,0,1
69443722,55,True,2,0,179
68249625,273,True,2,3,41
68554019,54,False,0,0,1
69714346,1384,True,4,7,1439
67844421,29,False,0,0,3809
69456541,22,False,1,0,29
69978906,21,False,0,0,823
69230029,77,True,2,0,53
67906915,91,False,0,0,1
67991575,41,True,2,0,219
69487541,59,False,0,0,71
68453452,69,False,1,0,141
68504978,47,True,1,1,3108
70175070,37,False,1,0,11
68968625,68,False,0,0,33
70176010,22,True,1,-1,126
69962297,49,False,1,2,9295
68788511,98,False,1,0,1
68592878,82,True,1,1,27
69516321,37,True,1,0,15
69384013,37,False,0,0,79
68404959,175,True,1,1,71
70098586,83,True,1,1,17
69740948,49,True,4,-1,1295
68461508,62,False,0,0,31
69470570,60,False,1,0,11
68332846,152,False,0,0,1
70157904,46,True,1,2,33
68197932,126,False,3,0,19
69288188,119,True,1,1,140
69246553,175,True,1,0,11
70128300,127,True,3,5,704
68523913,213,True,1,0,1331
69985419,32,False,1,0,3
68476642,28,False,1,0,101
69959691,61,False,1,0,81
70040571,37,False,1,0,247
67923751,35,False,0,0,15
68884577,141,True,1,0,125
68467012,64,False,0,2,33
69405375,63,False,0,0,3
69495860,37,False,0,0,3
69408596,129,False,0,0,3
69904469,31,True,1,0,13
69800914,164,True,2,0,35
70110019,51,False,1,0,1
69307077,133,False,1,1,11
69032673,66,True,1,0,3
69790523,274,False,1,3,85
69199159,23,False,0,0,5742
68244666,74,False,1,0,29
68610638,85,False,1,0,1
69658497,43,True,1,0,79
69641012,49,False,2,0,21
70070910,33,True,1,1,71
70101874,19,True,1,0,71
70126863,31,True,1,0,71
69104695,31,False,1,0,1
68101083,215,True,4,2,59
69546970,45,True,1,1,690
69223051,61,True,1,1,103
69916036,32,True,1,0,67
67986181,118,False,1,3,471
70152230,36,True,1,0,13
69145728,134,True,2,0,89
70027392,32,False,1,0,41
68227653,104,False,2,0,1
69585019,373,True,5,5,323
69665457,40,True,1,0,17
70046759,42,True,2,2,16080
70109963,60,True,3,2,397
70155104,51,True,2,2,13890
70169580,53,True,1,2,227
70154739,72,True,4,2,126
69815000,18,False,1,0,33
68760442,338,True,5,6,31075
69289623,122,True,2,5,11584
68162196,36,False,1,1,11
68583772,124,True,1,1,2408
68684832,55,False,1,0,11
69618949,68,True,1,0,2630
69676547,55,True,2,1,11
69917993,52,True,1,0,1
69062487,70,False,2,1,45
70079957,45,True,2,1,143
70062865,264,True,2,8,122
70136960,55,False,2,1,23
69218262,86,True,1,2,33
69827127,64,True,1,2,21
68677105,58,True,2,1,2568
69589107,79,True,2,1,4169
68711765,71,True,3,3,4646
69719133,43,True,2,1,2620
69306607,214,True,2,0,1189
69591944,47,True,2,0,1315
68940726,67,True,2,0,131
69901173,240,False,1,1,11
68143481,28,False,0,0,410
69758641,51,False,2,1,2080
68548231,81,True,6,1,1463
69935200,75,False,0,0,1
68819313,58,True,2,1,166
67839878,47,False,1,1,43
69537309,207,True,2,3,515
69251412,48,False,0,0,33
69363587,202,True,1,0,143
70022117,245,True,4,4,0
70054488,45,True,3,-1,783
68327099,73,False,1,0,1
69967721,34,True,1,-1,3
69671518,75,False,2,1,2570
70061562,21,False,1,0,1
70109042,25,False,1,0,211
70159038,54,False,1,-1,1
69353402,470,True,2,0,3
69230294,29,False,0,0,1
67984468,88,True,1,2,187
70098615,32,False,1,-1,19
68928598,33,False,1,0,1127
69377653,26,False,0,0,542
69322716,106,False,1,0,1
67791408,81,True,5,2,2620
70060599,33,False,1,0,26
69975645,232,False,1,1,11
68823393,36,True,1,1,997
70152384,58,False,0,1,637
69380304,38,True,1,3,24085
70096030,45,True,2,1,99
70165804,61,False,1,1,11
69033754,93,True,2,0,3
67849830,581,True,2,3,1315
69394821,124,False,1,2,21
70088747,46,True,1,1,2329
68502230,153,True,1,1,388
69644486,69,True,1,0,145
70004330,55,True,2,0,121
70036429,165,True,1,0,45
70104706,13,True,2,1,163
67870411,16,False,0,0,1866
69885348,37,True,1,1,2449
69854600,32,True,1,1,1612
70012547,26,False,1,1,23
69892656,74,True,1,2,23
69696565,36,False,1,0,16
68379139,244,False,0,0,1
69409977,27,False,1,0,359
69106309,42,True,3,1,191
68069190,386,True,1,0,99
68581214,50,True,2,1,1350
69891696,65,True,1,2,59
68471748,61,True,1,1,103
69971390,68,True,1,2,103
70085633,49,True,1,0,849
69783919,55,True,1,1,359
69813423,121,False,0,1,11
69864050,108,False,0,1,11
69087675,63,False,1,2,57
70169555,48,False,1,0,195
69987143,35,True,1,0,1147
70030712,49,True,1,0,1147
70143167,41,True,1,0,1147
69941918,37,False,2,1,854
